id,split,mean_B4,mean_B3,mean_B2,centroid_dist_to_river_m,centroid_dist_to_river_m,encroachment
77,train,1256.0,1070.0,909.0,237.28028440392856,237.28028440392856,0
78,train,0.0,0.0,0.0,211.81997744385603,211.81997744385603,0
79,test,0.0,0.0,0.0,223.73464393845117,223.73464393845117,0
80,train,1216.5,1038.5,892.75,116.15724471664815,116.15724471664815,0
81,train,992.0,864.0,766.0,173.38374455655386,173.38374455655386,0
82,train,1367.0,1243.0,1032.5,120.11072248169005,120.11072248169005,0
83,train,0.0,0.0,0.0,183.92313744047544,183.92313744047544,0
84,test,1269.0,1126.0,946.0,120.97986769307487,120.97986769307487,0
85,train,1440.8333740234375,1240.8333740234375,1041.8333740234375,164.76713912330857,164.76713912330857,0
86,train,1378.0,1187.5,983.5,131.34028163167778,131.34028163167778,0
87,train,1500.0,1226.0,1014.0,156.5356516616125,156.5356516616125,0
88,train,1500.0,1253.3333740234375,1052.0,167.19149058473937,167.19149058473937,0
89,train,1591.0,1402.5,1259.0,144.7922082469495,144.7922082469495,0
90,test,1376.0,1196.0,1054.0,238.46770764499786,238.46770764499786,0
91,test,0.0,0.0,0.0,246.88599243814537,246.88599243814537,0
92,train,1390.0,1212.6666259765625,1109.3333740234375,215.19018966927948,215.19018966927948,0
93,train,1268.0,1076.5,920.0,238.22473676258215,238.22473676258215,0
94,train,1375.0,1201.0,1070.0,230.52759018350608,230.52759018350608,0
95,train,1250.0,1030.0,876.0,238.59776430399208,238.59776430399208,0
96,train,1178.0,952.0,828.0,233.38121642345521,233.38121642345521,0
97,train,1082.0,956.0,811.0,242.90643270128913,242.90643270128913,0
98,test,1204.0,999.0,821.2000122070312,259.9367940679242,259.9367940679242,0
99,train,1028.0,869.0,687.0,237.09917533009843,237.09917533009843,0
100,train,1576.0,1326.0,1130.0,29.039118822109288,29.039118822109288,1
101,test,1522.0,1306.0,1108.0,32.10521918335649,32.10521918335649,1
102,test,1252.0,1112.0,907.0,12.436926983771231,12.436926983771231,1
103,train,0.0,0.0,0.0,44.808029302585446,44.808029302585446,0
104,train,1504.0,1316.0,1134.0,37.204269604053046,37.204269604053046,1
105,test,1494.0,1281.0,1040.0,18.88371754819033,18.88371754819033,1
106,test,0.0,0.0,0.0,59.522766859624,59.522766859624,0
107,train,1562.800048828125,1334.0,1135.4000244140625,24.472115783881783,24.472115783881783,1
108,test,1517.7142333984375,1332.857177734375,1140.2857666015625,43.73399608172352,43.73399608172352,0
109,train,0.0,0.0,0.0,75.95118692565623,75.95118692565623,0
110,train,1738.0,1594.0,1360.0,61.67150403331249,61.67150403331249,0
111,train,1442.0,1290.0,1112.0,75.0156357680238,75.0156357680238,0
112,test,1444.0,1238.0,991.0,56.925264256029635,56.925264256029635,0
113,train,0.0,0.0,0.0,74.98005644836972,74.98005644836972,0
114,train,1207.0,1058.0,935.5,68.93011256694201,68.93011256694201,0
115,train,1332.0,1198.0,1026.0,82.54935718507647,82.54935718507647,0
116,train,0.0,0.0,0.0,67.41754943268066,67.41754943268066,0
117,train,1228.0,1045.6666259765625,941.0,69.36313089886956,69.36313089886956,0
118,train,1282.0,1084.0,898.0,94.43320245833861,94.43320245833861,0
