B11,B12,B2,B3,B4,B8,NDBI,NDVI,builtup,lon,lat
1966.0,1284.0,354.0,593.0,702.0,2330.0,-0.08472998440265656,0.5369393229484558,0,36.73619930218998,-1.3020630885670403
1305.0,715.0,195.0,314.0,244.0,1908.0,-0.18767507374286652,0.7732341885566711,0,36.757489374423606,-1.293708756424729
2042.0,1681.0,398.0,528.0,542.0,2372.0,-0.07476212084293365,0.6280027627944946,0,36.745362118087996,-1.2921816204417256
2217.0,1779.0,690.0,938.0,1252.0,1852.0,0.08970262855291367,0.19329896569252014,0,36.72380255126913,-1.3177836060391321
2671.0,1823.0,576.0,805.0,752.0,2532.0,0.02671535685658455,0.5420219302177429,0,36.72892294838861,-1.325149791368912
1512.5,678.5,277.5,476.5,271.5,2822.0,-0.3021109700202942,0.8244706392288208,0,36.75919617346344,-1.3131123665617106
2402.0,1456.0,511.0,765.5,705.5,2896.0,-0.09324273467063904,0.608218789100647,0,36.76377758141245,-1.301254604811333
870.0,370.0,225.0,308.0,238.0,2066.0,-0.40735694766044617,0.7934027910232544,0,36.742218014593576,-1.3201192257778427
2651.0,2089.0,1014.0,1306.0,1476.0,2598.0,0.010097160935401917,0.27540501952171326,0,36.74976386298018,-1.3278447372212707
1833.0,1060.0,440.5,776.0,547.0,3156.0,-0.26518338918685913,0.7045638561248779,0,36.73305519869556,-1.3312583353009249
1907.0,1051.0,341.0,580.0,387.0,2750.0,-0.18101781606674194,0.7532674670219421,0,36.741499362366284,-1.3340431126816954
2233.0,1464.0,441.0,708.0,916.0,2220.0,0.002919380087405443,0.4158163368701935,0,36.73619930218998,-1.3010749417545089
1159.0,523.0,251.0,376.0,290.0,2150.0,-0.2994862496852875,0.7622950673103333,0,36.732695872581914,-1.3118547251639432
1541.5,887.5,265.5,450.0,321.0,2548.5,-0.2462102621793747,0.7762676477432251,0,36.7318873888262,-1.3350312594942269
1824.0,1110.5,372.5,620.5,605.0,2694.0,-0.19256308674812317,0.6332221627235413,0,36.76782000019099,-1.3052970235898707
1821.0,1021.5,427.5,659.0,568.5,2390.0,-0.13512229919433594,0.6156836152076721,0,36.76099280403167,-1.3260481066530316
1258.5,568.0,261.0,399.0,268.5,2867.5,-0.38996607065200806,0.8287627696990967,0,36.71751434428029,-1.3045783713625752
1507.5,707.5,261.5,440.5,282.0,2512.0,-0.24990670382976532,0.7981388568878174,0,36.74742824324147,-1.3192209104937234
1839.0,1424.5,593.0,834.5,1029.0,2308.0,-0.113093800842762,0.38327839970588684,0,36.75470459704284,-1.3344024387953433
2208.0,1391.0,546.0,839.0,926.0,2640.0,-0.0891089141368866,0.4806506037712097,0,36.72622800253625,-1.2959545446350276
1644.0,775.0,284.0,461.0,300.0,2822.0,-0.2637706995010376,0.8078154921531677,0,36.764136907526094,-1.3114055675218834
1153.5,658.5,320.5,530.0,474.5,2235.5,-0.31926822662353516,0.6498154997825623,0,36.73314503022397,-1.2987393220157981
2331.0,1718.0,513.0,678.0,842.0,1730.0,0.14799310266971588,0.34525659680366516,0,36.75856735276455,-1.3114953990502953
1682.5,1038.0,521.0,697.5,649.5,2562.0,-0.20720933377742767,0.5955160856246948,0,36.762250445429444,-1.3286532209769784
2143.0,1334.0,554.0,825.0,738.0,2824.0,-0.13710489869117737,0.5856260657310486,0,36.742218014593576,-1.33287530281234
1630.0,791.0,276.0,451.0,300.0,2840.0,-0.27069351077079773,0.808917224407196,0,36.753896113287134,-1.3145496710163018
3344.0,2096.5,699.5,1013.0,955.0,3226.0,0.017960425466299057,0.5431714653968811,0,36.75730971136679,-1.3102377576525281
3204.0,2188.0,870.5,1195.0,1346.0,2962.0,0.03924748674035072,0.3751160502433777,0,36.73781626970139,-1.3268565904087393
1293.0,791.0,352.0,498.0,514.0,2174.0,-0.254110187292099,0.617559552192688,0,36.722185583757714,-1.3067343280444619
1551.0,718.0,333.0,484.0,334.0,2493.0,-0.23293767869472504,0.7637071013450623,0,36.75353678717348,-1.3219158563460818
858.0,371.5,227.5,333.5,235.0,2017.0,-0.403130441904068,0.7912966012954712,0,36.73278570411032,-1.3155378178288333
1598.5,1075.5,605.5,750.5,863.5,1747.0,-0.04438798502087593,0.3384409248828888,0,36.726946654763545,-1.3300006939031574
